 TIME                    	COP_theoretical_Cool     	COP_theoretical_Heat     	PL_Percent_Cool          	PL_Percent_Heat          	
  +5.4860000000000000E+03	  +7.9699110692296919E+00	  +6.2118915159295506E-03	  +3.9013437671392703E-01	  +0.0000000000000000E+00	
  +5.4870000000000000E+03	  +7.8047057693604982E+00	  +6.2119762069300852E-03	  +3.7124721620547846E-01	  +0.0000000000000000E+00	
  +5.4880000000000000E+03	  +7.9078943751203870E+00	  +6.2120608974078227E-03	  +3.8281853695760781E-01	  +0.0000000000000000E+00	
  +5.4890000000000000E+03	  +7.7557619338659034E+00	  +6.2121455873191921E-03	  +3.6602744498887990E-01	  +0.0000000000000000E+00	
  +5.4900000000000000E+03	  +7.7150662884761534E+00	  +6.2122302766206240E-03	  +3.6179144986647654E-01	  +0.0000000000000000E+00	
  +5.4910000000000000E+03	  +6.8093877229931516E+00	  +6.2123149652685500E-03	  +2.8494290148431323E-01	  +0.0000000000000000E+00	
  +5.4920000000000000E+03	  +8.6800527807328258E+00	  +6.2123996532194017E-03	  +5.2304530254849202E-01	  +0.0000000000000000E+00	
  +5.4930000000000000E+03	  +7.9152719826982437E-03	  +6.2124843404296097E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4940000000000000E+03	  +8.4006079444766701E+00	  +6.2125690268556048E-03	  +4.5354216289617499E-01	  +0.0000000000000000E+00	
  +5.4950000000000000E+03	  +7.9151177577656273E-03	  +6.2126537124538210E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4960000000000000E+03	  +7.9150406464696173E-03	  +6.2127383971806909E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4970000000000000E+03	  +7.9149635360066979E-03	  +6.2128230809926459E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4980000000000000E+03	  +7.9148864264165404E-03	  +6.2129077638461219E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4990000000000000E+03	  +7.9148093177388162E-03	  +6.2129924456975514E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5000000000000000E+03	  +7.9147322100131933E-03	  +6.2130771265033694E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5010000000000000E+03	  +7.9146551032793413E-03	  +6.2131618062200118E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5020000000000000E+03	  +7.9145779975769263E-03	  +6.2132464848039127E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5030000000000000E+03	  +7.9145008929456199E-03	  +6.2133311622115097E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5040000000000000E+03	  +7.9144237894250846E-03	  +4.7514738977659539E+00	  +0.0000000000000000E+00	  +2.3605341060142304E-01	
  +5.5050000000000000E+03	  +7.9143466870549902E-03	  +6.2135005133235376E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5060000000000000E+03	  +8.6720220008804496E+00	  +6.2135851869408454E-03	  +5.2056906534251590E-01	  +0.0000000000000000E+00	
  +5.5070000000000000E+03	  +7.0264054183887437E+00	  +6.2136698592076007E-03	  +3.0110504490315654E-01	  +0.0000000000000000E+00	
  +5.5080000000000000E+03	  +7.7535008606417586E+00	  +6.2137545300802420E-03	  +3.6594036651563389E-01	  +0.0000000000000000E+00	
  +5.5090000000000000E+03	  +7.8506687925988121E+00	  +6.2138391995152096E-03	  +3.7649303339787138E-01	  +0.0000000000000000E+00	
  +5.5100000000000000E+03	  +7.5702012994751113E+00	  +6.2139238674689453E-03	  +3.4755134343070454E-01	  +0.0000000000000000E+00	
  +5.5110000000000000E+03	  +7.3359845830174804E+00	  +6.2140085338978912E-03	  +3.2629295501382666E-01	  +0.0000000000000000E+00	
  +5.5120000000000000E+03	  +7.4661613451100219E+00	  +6.2140931987584892E-03	  +3.3784286729029273E-01	  +0.0000000000000000E+00	
  +5.5130000000000000E+03	  +6.9069198208619387E+00	  +6.2141778620071822E-03	  +2.9213915951729641E-01	  +0.0000000000000000E+00	
  +5.5140000000000000E+03	  +7.9645649319687735E+00	  +6.2142625236004147E-03	  +3.8975142038019955E-01	  +0.0000000000000000E+00	
  +5.5150000000000000E+03	  +8.5445970308477950E+00	  +6.2143471834946330E-03	  +4.8408949619972858E-01	  +0.0000000000000000E+00	
  +5.5160000000000000E+03	  +8.2364484565611225E+00	  +6.2144318416462799E-03	  +4.2639544894152626E-01	  +0.0000000000000000E+00	
  +5.5170000000000000E+03	  +8.1122262771954414E+00	  +6.2145164980118043E-03	  +4.0861606861440009E-01	  +0.0000000000000000E+00	
  +5.5180000000000000E+03	  +6.1611662974949688E+00	  +6.2146011525476543E-03	  +2.4258699761859806E-01	  +0.0000000000000000E+00	
  +5.5190000000000000E+03	  +8.2690069503113044E+00	  +6.2146858052102780E-03	  +4.3146958339010211E-01	  +0.0000000000000000E+00	
  +5.5200000000000000E+03	  +7.9509015064029507E+00	  +6.2147704559561258E-03	  +3.8816731563857765E-01	  +0.0000000000000000E+00	
  +5.5210000000000000E+03	  +7.9131132379588274E-03	  +6.2148551047416459E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5220000000000000E+03	  +7.9130361612145643E-03	  +6.2149397515232924E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5230000000000000E+03	  +7.9129590863346207E-03	  +6.2150243962575168E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5240000000000000E+03	  +7.9128820133586471E-03	  +6.2151090389007740E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5250000000000000E+03	  +7.9128049423262958E-03	  +6.2151936794095164E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5260000000000000E+03	  +7.9127278732772158E-03	  +6.2152783177402016E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5270000000000000E+03	  +7.9126508062510575E-03	  +6.2153629538492872E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5280000000000000E+03	  +8.7748157736992773E+00	  +6.2154475876932290E-03	  +5.7604191213395517E-01	  +0.0000000000000000E+00	
  +5.5290000000000000E+03	  +7.9199688517404239E+00	  +6.2155322192284888E-03	  +3.8459209142295886E-01	  +0.0000000000000000E+00	
  +5.5300000000000000E+03	  +7.5816205862957844E+00	  +6.2156168484115253E-03	  +3.4879029100046871E-01	  +0.0000000000000000E+00	
  +5.5310000000000000E+03	  +7.6607464808011461E+00	  +6.2157014751988010E-03	  +3.5657862515231181E-01	  +0.0000000000000000E+00	
  +5.5320000000000000E+03	  +7.9598137022933457E+00	  +6.2157860995467789E-03	  +3.8934728984792133E-01	  +0.0000000000000000E+00	
  +5.5330000000000000E+03	  +8.2832056230547391E+00	  +6.2158707214119225E-03	  +4.3390378421638920E-01	  +0.0000000000000000E+00	
  +5.5340000000000000E+03	  +8.0975133310233076E+00	  +6.2159553407506981E-03	  +4.0681745512381073E-01	  +0.0000000000000000E+00	
  +5.5350000000000000E+03	  +7.0440489565604834E+00	  +6.2160399575195710E-03	  +3.0261270695730458E-01	  +0.0000000000000000E+00	
  +5.5360000000000000E+03	  +6.3531339957447752E+00	  +6.2161245716750120E-03	  +2.5450025902426082E-01	  +0.0000000000000000E+00	
  +5.5370000000000000E+03	  +8.7405070540813572E+00	  +6.2162091831734880E-03	  +5.5181438929465376E-01	  +0.0000000000000000E+00	
  +5.5380000000000000E+03	  +7.9118032138145965E-03	  +6.2162937919714705E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5390000000000000E+03	  +8.7026756391414803E+00	  +6.2163783980254328E-03	  +5.3351516584284631E-01	  +0.0000000000000000E+00	
  +5.5400000000000000E+03	  +7.9116491370350688E-03	  +4.7516533656363400E+00	  +0.0000000000000000E+00	  +2.3589247144915887E-01	
  +5.5410000000000000E+03	  +7.9115721024923188E-03	  +6.2165476017271883E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5420000000000000E+03	  +8.2491108704240066E+00	  +6.2166321992879340E-03	  +4.2865551354898263E-01	  +0.0000000000000000E+00	
  +5.5430000000000000E+03	  +7.9114180412990023E-03	  +6.2167167939305617E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.5440000000000000E+03	  +7.9113410147276953E-03	  +6.2168013856115497E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
