 TIME                    	Electric                 	Cooling                  	Heating                  	Dehumidification         	
 HOURS              	kWh                 	kWh                 	kWh                 	kWh                 	
  +8.0950000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0808770000000033E+04	  +1.0015300000000005E+04	
  +8.0960000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.0970000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.0980000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.0990000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.1000000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.1010000000000000E+03	  +4.1559098527724462E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.1020000000000000E+03	  +4.1559098527724462E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.1030000000000000E+03	  +4.1559098527724462E+04	  +1.8324247499999966E+05	  +4.0855205000000031E+04	  +1.0015300000000005E+04	
  +8.1040000000000000E+03	  +4.1559098527724462E+04	  +1.8324247499999966E+05	  +4.0855290000000030E+04	  +1.0015300000000005E+04	
  +8.1050000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0855460000000028E+04	  +1.0015300000000005E+04	
  +8.1060000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0855670000000027E+04	  +1.0015300000000005E+04	
  +8.1070000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0855795000000027E+04	  +1.0015300000000005E+04	
  +8.1080000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0855795000000027E+04	  +1.0015300000000005E+04	
  +8.1090000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0855795000000027E+04	  +1.0015300000000005E+04	
  +8.1100000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0855950000000026E+04	  +1.0015300000000005E+04	
  +8.1110000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0856105000000025E+04	  +1.0015300000000005E+04	
